match.id,series.id,end.time,duration..s.,mode,map,team,player,win.,score,kills,deaths,X...,k.d,kills.per.10min,deaths.per.10min,player.score,player.spm,damage.dealt,ekia,assists,headshots,suicides,team.kills,team.deaths,kills..stayed.alive.,hits,shots,accuracy....,num.lives,time.alive..s.,avg.time.per.life..s.,fave.specialist,fave.scorestreaks,hill.time..s.,hill.captures,hill.defends,snd.rounds,snd.firstbloods,snd.firstdeaths,snd.survives,bomb.pickups,bomb.plants,bomb.defuses,bomb.sneak.defuses,snd.1.kill.round,snd.2.kill.round,snd.3.kill.round,snd.4.kill.round,ctrl.rounds,ctrl.firstbloods,ctrl.firstdeaths,ctrl.captures,X2.piece,X3.piece,X4.piece,X4.streak,X5.streak,X6.streak,X7.streak,X8..streak
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,100 Thieves,Priestahh,L,0,23,17,6,1.35,,,3100,,3676,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,100 Thieves,Enable,L,0,14,16,-2,0.88,,,2470,,2769,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,100 Thieves,Kenny,L,0,17,22,-5,0.77,,,2365,,3649,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,100 Thieves,Octane,L,0,11,15,-4,0.73,,,2275,,3376,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.00E+01,pool-A-2,2019-05-03 16:22:38 UTC,656,Control,Arsenal,100 Thieves,Slasher,L,0,14,18,-4,0.78,,,2025,,3753,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,FaZe Clan,Skrapz,W,250,30,15,15,2,,,4730,,5347,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,FaZe Clan,Cellium,W,250,20,18,2,1.11,,,3200,,4207,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,FaZe Clan,Zoomaa,W,250,21,17,4,1.24,,,3080,,3879,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,FaZe Clan,Asim,W,250,17,19,-2,0.89,,,2545,,3755,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,FaZe Clan,Zer0,W,250,18,20,-2,0.9,,,2520,,3291,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,Evil Geniuses,Apathy,L,160,22,24,-2,0.92,,,3100,,3903,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,Evil Geniuses,Xotic,L,160,19,19,0,1,,,2690,,3019,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,Evil Geniuses,Attach,L,160,16,23,-7,0.7,,,2665,,4043,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,Evil Geniuses,JKap,L,160,17,18,-1,0.94,,,1560,,3017,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.10E+01,pool-C-5,2019-05-03 16:22:38 UTC,597,Hardpoint,Seaside,Evil Geniuses,Phantomz,L,160,15,22,-7,0.68,,,2135,,3704,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,FaZe Clan,Skrapz,L,0,1,6,-5,0.17,,,100,,506,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,FaZe Clan,Asim,L,0,1,5,-4,0.2,,,200,,380,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,FaZe Clan,Zer0,L,0,4,5,-1,0.8,,,550,,1140,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,FaZe Clan,Cellium,L,0,3,6,-3,0.5,,,325,,679,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,FaZe Clan,Zoomaa,L,0,5,6,-1,0.83,,,500,,964,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,Evil Geniuses,JKap,W,6,4,1,3,4,,,1065,,944,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,Evil Geniuses,Apathy,W,6,5,3,2,1.67,,,650,,749,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,Evil Geniuses,Xotic,W,6,5,3,2,1.67,,,990,,1005,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,Evil Geniuses,Phantomz,W,6,9,2,7,4.5,,,1375,,1869,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.20E+01,pool-C-5,2019-05-03 16:22:38 UTC,600,Search & Destroy,Gridlock,Evil Geniuses,Attach,W,6,3,5,-2,0.6,,,350,,587,,0,,,,,,,,,,,,,,,,,6,0,0,,,,,,,,,,0,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,FaZe Clan,Skrapz,W,3,22,8,14,2.75,,,3510,,3793,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,FaZe Clan,Asim,W,3,19,14,5,1.36,,,3025,,3158,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,FaZe Clan,Zer0,W,3,16,11,5,1.45,,,2750,,3371,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,FaZe Clan,Cellium,W,3,10,12,-2,0.83,,,2550,,2607,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,FaZe Clan,Zoomaa,W,3,16,17,-1,0.94,,,2350,,3695,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,Evil Geniuses,Apathy,L,0,22,19,3,1.16,,,2700,,4150,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,Evil Geniuses,Xotic,L,0,14,18,-4,0.78,,,2050,,3160,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,Evil Geniuses,Attach,L,0,11,15,-4,0.73,,,1950,,2580,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,Evil Geniuses,JKap,L,0,8,17,-9,0.47,,,1395,,2040,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
1.30E+01,pool-C-5,2019-05-03 16:22:38 UTC,609,Control,Gridlock,Evil Geniuses,Phantomz,L,0,7,14,-7,0.5,,,1200,,2270,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,3,,,,,,,,,,,
